relpath	category	bytes	sha256
case_studies/stage10_figure_architecture/stage10_5_figure_architecture_brief.md	case_study_output	751	e0c3ee57a96f57135b4d55c746c1d8bf5f775ee533fc3a37e83677551a63fd34
case_studies/stage10_figure_architecture/stage10_5_gate_report.json	gate_report	1642	3bb3347213bff0f4fd4ad960939255fafb6d3018c3d07d69fc4be42a5b7b7bbf
case_studies/stage10_heldout_validation/stage10_4_gate_report.json	gate_report	1188	42029e3a57ea8d5c211d948bcdbcc3b6883f396778bbb7610e954cfdf5742293
case_studies/stage10_heldout_validation/stage10_4_heldout_decisions.tsv	case_study_output	2471	feb25a4588aac1ff39e13f541f2e9e7a31ea6779fd3a80534f4af9993c102c7a
case_studies/stage10_heldout_validation/stage10_4_heldout_report.md	case_study_output	2231	f59fa4cc416821be1f43415e0140b231abd478ac2e6229a139c9a16b09cb6994
case_studies/stage10_heldout_validation/stage10_4_predeclaration.json	case_study_output	3276	147dabf54ddef79f738cce170b45b4c09c10d8b30a121480cdd910017f6521a5
case_studies/stage10_heldout_validation/stage10_4_predeclaration.md	case_study_output	1498	826f7197f71bcaa7e586cdd84b9aa163ce66e537b299a7ceeae282c6bccecf1c
case_studies/stage10_heldout_validation/stage10_4_trajectory_object_calls.csv	case_study_output	13481	8f618179eb9048b9bfd2590084bda59816a59e47639ce8333f0b42d6e2ade320
case_studies/stage10_manuscript_pitch/stage10_6_gate_report.json	gate_report	1117	13152d13f637f005cfa2d25c0b8fde05b66b34fb7f74fd86d87bdd81dc2a6d1c
case_studies/stage10_manuscript_pitch/stage10_6_manuscript_pitch_brief.md	case_study_output	544	9ee944c761947db29734dbac22eafc3479db492fcd73cf0cc240994fe8f15da9
case_studies/stage10_method_object_v2/stage10_1_method_object_brief.md	case_study_output	1234	24fbcfdef1b22d7bd2cf1c5b38d902283bf98ac216aef89949be849797d2f092
case_studies/stage10_method_object_v2/stage10_1_method_object_decisions.csv	case_study_output	3917	a84e97d917f3b9b17bd3e9779a88618c89c8f836c672283a90136f5de429c911
case_studies/stage10_method_object_v2/stage10_1_method_object_gate_report.json	gate_report	9924	3449d9afc069b6fca7bc6335d83e885cc7def4f59d78e0c3416a5cf3a0f4078f
case_studies/stage10_named_benchmarks/stage10_2_failure_boundary_report.md	case_study_output	2144	7bd02f53445e73355519f586785f59eb9fe8a8c747c485077e1e969d9d92bfef
case_studies/stage10_named_benchmarks/stage10_2_named_baseline_accuracy_summary.csv	case_study_output	1342	467d179487729dd6dc363778ffa9dfef5316756ce2da11fe1ddc4ed1ed1c8b2c
case_studies/stage10_named_benchmarks/stage10_2_named_benchmark_brief.md	case_study_output	768	a5983f2e4d68269321657b1b2a92cf2f0bc5032c049e1eb05cf2f3a854e70bf1
case_studies/stage10_named_benchmarks/stage10_2_named_benchmark_report.json	case_study_output	1787	52e9343a250b2d001b95aad94b0fccb5591ad335f5104e911ba48bc7008b1708
case_studies/stage10_named_benchmarks/stage10_2_named_tool_availability.tsv	case_study_output	612	8f77a23baa3b2ce79293b2a690b570b8c0a84d3e2161d3a4222cc339c9c91c6f
case_studies/stage10_named_benchmarks/stage10_2_public_input_named_baseline_summary.csv	case_study_output	3932	fd5c49ad63065cb645bf08e31d9f9808db9bdb7af5dfc54331d338eb151f21a0
case_studies/stage10_named_benchmarks/stage10_2_runtime_memory.tsv	case_study_output	384	d7349d4dd0e0297590c33cf1b95698ec10f6da0571fbf14102fa121b579614b3
case_studies/stage10_named_benchmarks/stage10_2_synthetic_named_baseline_benchmark.csv	case_study_output	169999	e6f17d860566fdac3174b2de0a740627bb7e82aed07be30159816703b1d37379
case_studies/stage10_public_breadth/stage10_3_birtwistle_source_probe.json	case_study_output	1272	a80a5c866d40e5c8978e6d501f0744c1c7bf605e03f6a03f419243d1b690dde7
case_studies/stage10_public_breadth/stage10_3_candidate_resolution.tsv	case_study_output	973	d66d252b108c7733e47491bf5afc0b68380edb41e99b2b5cfc430f0da40696b8
case_studies/stage10_public_breadth/stage10_3_mlci_tracking_residence_summary.csv	case_study_output	3243	fb40154c92015e778d3a5b89bc27e422d5e5600fcf37934a1f2774a241532f27
case_studies/stage10_public_breadth/stage10_3_public_breadth_brief.md	case_study_output	2498	663070976c23b41a997a80d2e727c8fca87f5fd30b994fae71b376df3e53d4d0
